Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
11,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
20,Open air / uncovered,High (pH~4.5),Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
41,Room temperature (≈25°C),High (pH~4.5),Thickened,Plastic box with lid,Slight off-smell,Oil film present,Yes
98,Open air / uncovered,High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,<5%,Yes
50,Open air / uncovered,High (pH~4.5),Watery separation,Open bowl,Slight off-smell,5-15%,Yes
40,Covered in container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
33,Covered in container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,>15%,Yes
108,Insulated container,Moderate (pH~5.5),Mushy,Metal container,Strong off-odor,>15%,Yes
67,Room temperature (≈25°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,Oil film present,Yes
106,Covered in container,High (pH~4.5),Thickened,Metal container,Slight off-smell,5-15%,Yes
26,Covered in container,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
98,Open air / uncovered,High (pH~4.5),Thickened,Plastic box with lid,Rancid smell,5-15%,Yes
111,Warm environment (≈35°C),None,Mushy,Thermal flask,Rancid smell,<5%,Yes
5,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,<5%,No
68,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
70,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Sour fermentation smell,Oil film present,Yes
39,Open air / uncovered,Moderate (pH~5.5),Thickened,Thermal flask,Rancid smell,Oil film present,Yes
88,Covered in container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,>15%,Yes
65,Open air / uncovered,High (pH~4.5),Watery separation,Glass jar sealed,Rancid smell,5-15%,Yes
111,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Open bowl,Strong off-odor,>15%,Yes
85,Open air / uncovered,Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,<5%,Yes
79,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Glass jar sealed,Rancid smell,>15%,Yes
72,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Slight off-smell,<5%,No
106,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Plastic box with lid,Strong off-odor,None,Yes
11,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
10,Refrigerated (≈4°C),None,Thickened,Metal container,Fresh/normal,None,No
67,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
27,Open air / uncovered,High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,>15%,Yes
14,Open air / uncovered,None,Normal (smooth),Metal container,Rancid smell,None,No
52,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
30,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
65,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Metal container,Rancid smell,None,Yes
64,Open air / uncovered,Moderate (pH~5.5),Watery separation,Glass jar sealed,Rancid smell,>15%,Yes
3,Room temperature (≈25°C),None,Thickened,Plastic box with lid,Fresh/normal,None,No
16,Warm environment (≈35°C),High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,<5%,Yes
90,Open air / uncovered,High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,>15%,Yes
48,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
0,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
65,Open air / uncovered,Moderate (pH~5.5),Mushy,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
97,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Rancid smell,5-15%,Yes
1,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,<5%,No
26,Refrigerated (≈4°C),None,Watery separation,Metal container,Fresh/normal,None,No
44,Insulated container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
21,Covered in container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
75,Warm environment (≈35°C),None,Clotted/curdled,Thermal flask,Rancid smell,>15%,Yes
108,Insulated container,None,Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
71,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,>15%,Yes
26,Open air / uncovered,High (pH~4.5),Watery separation,Plastic box with lid,Slight off-smell,None,No
103,Open air / uncovered,High (pH~4.5),Normal (smooth),Thermal flask,Sour fermentation smell,>15%,Yes
44,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Open bowl,Strong off-odor,<5%,Yes
86,Room temperature (≈25°C),High (pH~4.5),Mushy,Glass jar sealed,Strong off-odor,>15%,Yes
1,Open air / uncovered,None,Thickened,Glass jar sealed,Fresh/normal,None,No
70,Open air / uncovered,High (pH~4.5),Watery separation,Metal container,Strong off-odor,>15%,Yes
15,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
79,Insulated container,High (pH~4.5),Thickened,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
45,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
10,Room temperature (≈25°C),High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,>15%,Yes
7,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
89,Covered in container,Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
28,Insulated container,Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,5-15%,No
46,Open air / uncovered,High (pH~4.5),Watery separation,Metal container,Strong off-odor,5-15%,Yes
79,Insulated container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
20,Open air / uncovered,Low (pH~6.5),Thickened,Metal container,Fresh/normal,None,No
10,Warm environment (≈35°C),High (pH~4.5),Normal (smooth),Open bowl,Sour fermentation smell,None,Yes
77,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
71,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Thermal flask,Rancid smell,5-15%,Yes
13,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,>15%,No
30,Covered in container,High (pH~4.5),Mushy,Glass jar sealed,Sour fermentation smell,5-15%,Yes
25,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
101,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,5-15%,Yes
59,Insulated container,High (pH~4.5),Mushy,Metal container,Rancid smell,Oil film present,Yes
6,Open air / uncovered,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
86,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Slight off-smell,Oil film present,Yes
2,Insulated container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Strong off-odor,Oil film present,Yes
81,Covered in container,High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,>15%,Yes
2,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
96,Room temperature (≈25°C),High (pH~4.5),Mushy,Metal container,Strong off-odor,Oil film present,Yes
38,Insulated container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
98,Insulated container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Slight off-smell,Oil film present,Yes
66,Room temperature (≈25°C),High (pH~4.5),Normal (smooth),Plastic box with lid,Sour fermentation smell,5-15%,Yes
86,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
28,Refrigerated (≈4°C),None,Clotted/curdled,Glass jar sealed,Slight off-smell,None,No
36,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
0,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
30,Insulated container,Moderate (pH~5.5),Clotted/curdled,Metal container,Strong off-odor,Oil film present,Yes
110,Refrigerated (≈4°C),High (pH~4.5),Thickened,Metal container,Rancid smell,>15%,Yes
74,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Open bowl,Strong off-odor,>15%,Yes
107,Insulated container,High (pH~4.5),Mushy,Metal container,Strong off-odor,>15%,Yes
68,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,<5%,Yes
78,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Metal container,Strong off-odor,5-15%,Yes
14,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
81,Refrigerated (≈4°C),None,Thickened,Metal container,Fresh/normal,5-15%,No
105,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
60,Refrigerated (≈4°C),Moderate (pH~5.5),Mushy,Open bowl,Fresh/normal,None,No
4,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
64,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
20,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
113,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
84,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
97,Open air / uncovered,Moderate (pH~5.5),Mushy,Plastic box with lid,Sour fermentation smell,>15%,Yes
37,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
41,Open air / uncovered,Moderate (pH~5.5),Thickened,Plastic box with lid,Strong off-odor,Oil film present,Yes
84,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Open bowl,Slight off-smell,>15%,Yes
9,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Thermal flask,Rancid smell,Oil film present,Yes
75,Warm environment (≈35°C),High (pH~4.5),Thickened,Open bowl,Rancid smell,>15%,Yes
118,Covered in container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,>15%,Yes
8,Open air / uncovered,High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,Oil film present,Yes
57,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
111,Open air / uncovered,Moderate (pH~5.5),Thickened,Plastic box with lid,Strong off-odor,Oil film present,Yes
110,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Open bowl,Strong off-odor,>15%,Yes
117,Insulated container,High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
76,Room temperature (≈25°C),Low (pH~6.5),Watery separation,Plastic box with lid,Rancid smell,5-15%,Yes
116,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
15,Insulated container,Moderate (pH~5.5),Thickened,Thermal flask,Fresh/normal,5-15%,No
17,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
105,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
119,Warm environment (≈35°C),High (pH~4.5),Mushy,Open bowl,Rancid smell,Oil film present,Yes
120,Warm environment (≈35°C),High (pH~4.5),Mushy,Metal container,Sour fermentation smell,5-15%,Yes
56,Room temperature (≈25°C),High (pH~4.5),Mushy,Thermal flask,Slight off-smell,Oil film present,Yes
76,Open air / uncovered,None,Mushy,Glass jar sealed,Rancid smell,<5%,Yes
102,Covered in container,Moderate (pH~5.5),Mushy,Thermal flask,Sour fermentation smell,>15%,Yes
45,Covered in container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,<5%,No
87,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
25,Warm environment (≈35°C),High (pH~4.5),Thickened,Open bowl,Strong off-odor,>15%,Yes
14,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Sour fermentation smell,<5%,No
82,Room temperature (≈25°C),High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
111,Covered in container,High (pH~4.5),Thickened,Plastic box with lid,Sour fermentation smell,None,Yes
0,Refrigerated (≈4°C),None,Thickened,Thermal flask,Fresh/normal,None,No
42,Insulated container,High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,5-15%,Yes
72,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
96,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
87,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
96,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
69,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
23,Covered in container,None,Thickened,Open bowl,Fresh/normal,Oil film present,No
10,Open air / uncovered,None,Thickened,Open bowl,Fresh/normal,None,No
91,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,Oil film present,Yes
4,Insulated container,Moderate (pH~5.5),Thickened,Plastic box with lid,Fresh/normal,<5%,No
92,Warm environment (≈35°C),High (pH~4.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
38,Room temperature (≈25°C),None,Thickened,Metal container,Fresh/normal,None,No
21,Open air / uncovered,High (pH~4.5),Normal (smooth),Metal container,Strong off-odor,None,No
67,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
77,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,Oil film present,No
35,Warm environment (≈35°C),High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,Oil film present,Yes
40,Room temperature (≈25°C),None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
14,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Slight off-smell,<5%,No
64,Open air / uncovered,High (pH~4.5),Mushy,Glass jar sealed,Rancid smell,Oil film present,Yes
30,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
117,Room temperature (≈25°C),High (pH~4.5),Mushy,Glass jar sealed,Sour fermentation smell,5-15%,Yes
5,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,<5%,No
99,Covered in container,High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,>15%,Yes
61,Warm environment (≈35°C),High (pH~4.5),Watery separation,Metal container,Strong off-odor,5-15%,Yes
84,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
62,Insulated container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
25,Warm environment (≈35°C),Low (pH~6.5),Watery separation,Thermal flask,Fresh/normal,5-15%,Yes
26,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,<5%,No
79,Warm environment (≈35°C),High (pH~4.5),Normal (smooth),Thermal flask,Rancid smell,5-15%,Yes
73,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Metal container,Rancid smell,5-15%,Yes
51,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
82,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
79,Room temperature (≈25°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
92,Open air / uncovered,Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,>15%,Yes
4,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,Oil film present,Yes
66,Open air / uncovered,Moderate (pH~5.5),Thickened,Glass jar sealed,Slight off-smell,5-15%,Yes
113,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Metal container,Rancid smell,None,No
51,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
75,Covered in container,Moderate (pH~5.5),Thickened,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
14,Covered in container,Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,None,No
42,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
84,Insulated container,None,Mushy,Metal container,Slight off-smell,None,No
84,Open air / uncovered,High (pH~4.5),Mushy,Open bowl,Fresh/normal,Oil film present,Yes
99,Warm environment (≈35°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,>15%,Yes
17,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Metal container,Rancid smell,>15%,Yes
30,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,<5%,No
48,Room temperature (≈25°C),None,Thickened,Metal container,Strong off-odor,5-15%,No
46,Open air / uncovered,High (pH~4.5),Watery separation,Open bowl,Slight off-smell,Oil film present,Yes
66,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
14,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,<5%,No
59,Covered in container,Moderate (pH~5.5),Watery separation,Open bowl,Strong off-odor,>15%,Yes
79,Insulated container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
87,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Thermal flask,Sour fermentation smell,5-15%,Yes
105,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,<5%,Yes
